filename	ATTRIBUTE_species	ATTRIBUTE_YYY	iNat	id	observed_on_string	observed_on	time_observed_at	time_zone	user_id	user_login	user_name	created_at	updated_at	quality_grade	license	url	image_url	sound_url	tag_list	description	num_identification_agreements	num_identification_disagreements	captive_cultivated	oauth_application_id	place_guess	latitude	longitude	positional_accuracy	private_place_guess	private_latitude	private_longitude	public_positional_accuracy	geoprivacy	taxon_geoprivacy	coordinates_obscured	positioning_method	positioning_device	species_guess	scientific_name	common_name	iconic_taxon_name	taxon_id	taxon_kingdom_name	taxon_phylum_name	taxon_subphylum_name	taxon_superclass_name	taxon_class_name	taxon_subclass_name	taxon_superorder_name	taxon_order_name	taxon_suborder_name	taxon_superfamily_name	ATTRIBUTE_taxon_family_name	taxon_subfamily_name	taxon_supertribe_name	ATTRIBUTE_taxon_tribe_name	taxon_subtribe_name	ATTRIBUTE_taxon_genus_name	taxon_genushybrid_name	taxon_species_name	taxon_hybrid_name	taxon_subspecies_name	taxon_variety_name	taxon_form_name	field:dbgi_id
20230419_PMA_SBL20004_dbgi_001135_01.mzML	aconitum forestii	dbgi_001135	159424948	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd
20230419_PMA_SBL20004_dbgi_001128_01.mzML	delphinium elatum	dbgi_001128	159424952	159424952	05/04/2023 16:08	05/04/2023	2023-04-05 14:08:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:09 UTC	2023-05-03 13:48:09 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424952	https://inaturalist-open-data.s3.amazonaws.com/photos/275418237/medium.jpg		emi_external_id:dbgi_001128		0	0	TRUE		"Fribourg, Suisse"	46.79247328	7.156454094								FALSE			Alpine Larkspur	Delphinium elatum	Alpine Larkspur	Plantae	161664	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Delphinieae		Delphinium		Delphinium elatum					
20230419_PMA_SBL20004_dbgi_001114_01.mzML	delphinium caucasicum	dbgi_001114	159424953	159424953	05/04/2023 16:12	05/04/2023	2023-04-05 14:12:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:10 UTC	2023-05-03 13:48:10 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424953	https://inaturalist-open-data.s3.amazonaws.com/photos/275418345/medium.jpg		emi_external_id:dbgi_001114		0	0	TRUE		"Fribourg, Suisse"	46.79247225	7.156463753								FALSE			Delphinium caucasicum	Delphinium caucasicum		Plantae	577851	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Delphinieae		Delphinium		Delphinium caucasicum					
20230419_PMA_SBL20004_dbgi_000911_01.mzML	ranunculus auricomus	dbgi_000911	159424957	159424957	05/04/2023 16:18	05/04/2023	2023-04-05 14:18:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:10 UTC	2023-05-03 13:48:10 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424957	https://inaturalist-open-data.s3.amazonaws.com/photos/275418455/medium.jpg		emi_external_id:dbgi_000911		0	0	TRUE		"Fribourg, Suisse"	46.79234585	7.156501259								FALSE			Goldilocks Buttercup	Ranunculus auricomus	Goldilocks Buttercup	Plantae	124817	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Ranunculeae		Ranunculus		Ranunculus auricomus					
20230419_PMA_SBL20004_dbgi_001133_01.mzML	ranunculus aconitifolius	dbgi_001133	159424959	159424959	05/04/2023 16:30	05/04/2023	2023-04-05 14:30:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:11 UTC	2023-05-03 13:48:11 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424959	https://inaturalist-open-data.s3.amazonaws.com/photos/275418569/medium.jpg		emi_external_id:dbgi_001133		0	0	TRUE		"Fribourg, Suisse"	46.79234923	7.156509205								FALSE			Aconite-leaved Buttercup	Ranunculus aconitifolius	Aconite-leaved Buttercup	Plantae	85431	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Ranunculeae		Ranunculus		Ranunculus aconitifolius					
20230419_PMA_SBL20004_dbgi_001124_01.mzML	ranunculus repens	dbgi_001124	159424960	159424960	05/04/2023 16:32	05/04/2023	2023-04-05 14:32:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:12 UTC	2023-05-03 13:48:12 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424960	https://inaturalist-open-data.s3.amazonaws.com/photos/275418685/medium.jpg		emi_external_id:dbgi_001124		0	0	TRUE		"Fribourg, Suisse"	46.79234004	7.156506545								FALSE			Creeping Buttercup	Ranunculus repens	Creeping buttercup	Plantae	48229	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Ranunculeae		Ranunculus		Ranunculus repens					
20230419_PMA_SBL20004_dbgi_001130_01.mzML	ranunculus gramineus	dbgi_001130	159424961	159424961	05/04/2023 16:36	05/04/2023	2023-04-05 14:36:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:12 UTC	2023-05-03 13:48:12 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424961	https://inaturalist-open-data.s3.amazonaws.com/photos/275418803/medium.jpg		emi_external_id:dbgi_001130		0	0	TRUE		"Fribourg, Suisse"	46.79233414	7.156510025								FALSE			Grass-leaved Buttercup	Ranunculus gramineus	Grass-leaved Buttercup	Plantae	335886	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Ranunculeae		Ranunculus		Ranunculus gramineus					
20230419_PMA_SBL20004_dbgi_001005_01.mzML	ranunculus arvensis	dbgi_001005	159424962	159424962	05/04/2023 16:40	05/04/2023	2023-04-05 14:40:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:12 UTC	2023-05-03 13:48:12 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424962	https://inaturalist-open-data.s3.amazonaws.com/photos/275418888/medium.jpg		emi_external_id:dbgi_001005		0	0	TRUE		"Fribourg, Suisse"	46.79233007	7.156511646								FALSE			Corn Buttercup	Ranunculus arvensis	Corn buttercup	Plantae	78818	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Ranunculeae		Ranunculus		Ranunculus arvensis					
20230419_PMA_SBL20004_dbgi_001118_01.mzML	aconitum carmichaelii	dbgi_001118	159424965	159424965	05/04/2023 16:04	05/04/2023	2023-04-05 14:04:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:13 UTC	2023-05-03 13:48:13 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424965	https://inaturalist-open-data.s3.amazonaws.com/photos/275418981/medium.jpg		emi_external_id:dbgi_001118		0	0	TRUE		"Fribourg, Suisse"	46.79246213	7.156465318								FALSE			Azure Monkshood	Aconitum carmichaelii	Azure Monkshood	Plantae	483214	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Delphinieae		Aconitum		Aconitum carmichaelii					
20230419_PMA_SBL20004_dbgi_001137_01.mzML	aconitum napellus	dbgi_001137	159424966	159424966	05/04/2023 16:52	05/04/2023	2023-04-05 14:52:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:13 UTC	2023-05-03 13:48:13 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424966	https://inaturalist-open-data.s3.amazonaws.com/photos/275419066/medium.jpg		emi_external_id:dbgi_001137		0	0	TRUE		"Fribourg, Suisse"	46.79298186	7.156673482							open	FALSE			Monk's-Hood	Aconitum napellus	Monk's-hood	Plantae	131201	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Delphinieae		Aconitum		Aconitum napellus					
